"Bug编号","相关需求","Bug标题","严重程度","优先级","Bug类型","解决者","解决方案","重复ID"
"19168","","[主线测试][分析组][NGPM231201RC1]分析组中数据包去重功能需要拿掉","2","3","代码错误","徐阳","已解决","0",""
"19122","","[主线测试][分析组][NGPM231201RC1]数据包下载弹窗内容优化","5","3","代码错误","徐阳","已解决","0",""
"19159","[23.03]逸云-云管理：vProbe管理、分组及策略(#5622)"," [主线测试][逸云][NGPM231201RC1] [vprobe策略] 裁包长度显示有问题  ","3","3","代码错误","徐阳","已解决","0",""
"18321","","[主线测试][拓扑管理][NGPM230901RC2] 绑定应用时不应可以绑定多条应用","3","3","代码错误","徐阳","已解决","0",""
"19036","","[主线测试][配置][NGPM231201RC1]站点管理的IP端口组添加IP组时组名提示信息错误","3","3","代码错误","徐阳","已解决","0",""
"19060","","[主线测试][逸云][NGPM231201RC1]云网分析：查询一分钟趋势图(数据精度分钟)，点击那一分钟没有钻取按钮","5","3","代码错误","徐阳","已解决","0",""
"18157",""," [主线验收][中移金科][NGPM230901RC1][应用分析]业务应用在有数据时显示灰色","3","1","代码错误","徐阳","已解决","0",""
"19051","","[主线测试][规则管理][NGPM230901RC5-N22060703RC5-P18RC5]规则管理的规则锁定和解锁icon区分不明显","4","3","代码错误","徐阳","已解决","0",""
"18707","","[主线测试][告警管理][NGPM230901RC4]站点选择框显示信息有误","3","3","代码错误","徐阳","无法重现","0",""
"18734","[23.03] 新疆-前台需求：特征值分析功能调整，支持特征值与或过滤等(#6163)","[新疆][解码中心][(XJ)23.03.1.1(RC4)-2.0.RC4][特征分析]新增/编辑任务时，提示语不对","4","3","代码错误","徐阳","已解决","0",""
"18736","[23.03] 新疆-前台需求：特征值分析功能调整，支持特征值与或过滤等(#6163)","[新疆][解码中心][(XJ)23.03.1.1(RC4)-2.0.RC4][特征分析]接口没有开启链路层分组，特征分析结果有一列列名是None","3","3","代码错误","徐阳","已解决","0",""
"18815","[22.06]新华保险-前台需求：h.323支持多条rtp流的会话信息解析(#6093)"," [新疆][L7分析][(XJ)23.03.1.1(RC4)-2.0.RC4]H.323详单会话分析显示优化","5","3","代码错误","徐阳","已解决","0",""
"18942","","[主线测试][灵动智溯][NGPM231201RC1]优化实时精度逻辑","2","3","代码错误","徐阳","已解决","0",""
"18949",""," [主线测试][分析组][NGPM231201RC1]MAC虚链路，填写MAC地址显示不正确","4","3","代码错误","徐阳","已解决","0",""
"18831","","[23.03]应用系统下的用户数显示有误","2","3","代码错误","徐阳","已解决","0",""
"18864","","[主线测试][分析组][NGPM231201RC1]新增/编辑虚链路，描述字数过长时，报未知错误","3","3","代码错误","徐阳","已解决","0",""
"18867","","[主线测试][分析组][NGPM231201RC1]删除按钮名称优化","4","3","代码错误","徐阳","已解决","0",""
"18858","","[主线测试][灵动智溯][NGPM231201RC1]实时更新名称未更改","2","3","代码错误","徐阳","已解决","0",""
"18844","","[主线测试][逸云][NGPM231201RC1]云网分析：页面样式修改","3","3","代码错误","徐阳","已解决","0",""
