"Bug编号","相关需求","Bug标题","严重程度","优先级","Bug类型","解决者","解决方案","重复ID"
"20422","","[告警][(CPIC)21.11.8.1.15(RC1)][太保][Support] 阈值告警-建连失败率模拟告警触发异常","3","3","代码错误","赵湘谔","重复Bug","[22.06][天马微][support]排查告警问题时发现模拟告警无数据(13290)",""
"20421","","[建连拆连][(CPIC)21.11.8.1.15(RC1)][太保][Support] 修改建连失败详单数前端报设置失败","3","3","代码错误","韦亚鹏","已解决","0",""
"20290","","[22.06-H3C] 按需抓包第三方接口增加一个vlan","3","3","代码错误","林富星","已解决","0",""
"20188","","[BPM- 21.11.8.1.15][太保][Support][多维分析] 多维分析返回码的个数与应用层视图的返回码个数不匹配","3","3","代码错误","赵湘谔","设计如此","0",""
"20059","","[BPM- 21.11.8.1.15][太保][support][详单分析] 详单分析查询结果条目数被限制","3","3","代码错误","赵湘谔","已解决","0",""
"19945","","[NPM21.11]-[H3C]-[长江存储]-[support]-[生产]-系统配置页面，页签下显示的内容错乱，例如本地IP配置显示的是隐藏主机配置。","3","3","代码错误","吕晶晶","已解决","0",""
"19776","","[告警管理][(CPIC)21.11.8.1.15(RC1)][太保][Support] 搜索告警规则不生效","3","3","代码错误","吕晶晶","重复Bug","[21.11][22.06][恒大人寿]告警转发(12472)",""
"19532","","[灵动智溯]如果NPM更换端口或者开启https后部分相关功能会有问题","2","2","代码错误","张学东","已解决","0",""
"19409","","[灵动智溯]数据桶聚合任务优化","4","4","代码错误","张学东","已解决","0",""
"14018","","[NPM 22.06.43][恒大人寿保险公司][Support]hex告警只有第一条生效，其他不生效","3","3","设计缺陷","王翠龙","外部原因","0",""
"7450","","[21.02]95百分位报表->速率趋势图表格模式，速率没有单位","3","3","代码错误","刘克楠","外部原因","0",""
"7430","","点击站点跳到流量精分时，进行查询会弹出错误的提示","3","3","代码错误","刘克楠","无法重现","0",""
